corp_code,stock_code,corp_name_master,industry_krx,bsns_year,cash_and_cash_equivalents,cfo,current_assets,current_liabilities,finance_costs,inventory,net_income,operating_income,revenue,total_assets,total_equity,total_liabilities,liabilities_to_assets,equity_ratio,current_ratio,quick_ratio,cash_ratio,roa,roe,operating_margin,finance_cost_coverage,cfo_to_assets,cfo_to_liabilities,bs_check,bs_check_relative,weak_liquidity,weak_quick_liquidity,high_leverage,negative_roa,negative_operating_margin,weak_finance_cost_coverage,negative_cfo,flag_weak_liquidity,flag_high_leverage,flag_weak_profitability,flag_weak_coverage,flag_negative_cashflow,available_dimension_count,distress_flag_count,risk_bucket
00105873,034220,LG디스플레이,전기·전자,2020,4218099000000.0,2286948000000.0,11099470000000.0,11006948000000.0,802678000000.0,2170656000000.0,-70636000000.0,-29117000000.0,24230124000000.0,35071523000000.0,12736939000000.0,22334584000000.0,0.6368296010412778,0.3631703989587221,1.0084057815118233,0.8111979814931441,0.3832214888268755,-0.0020140556770232,-0.0055457594638711,-0.0012016859674345,-0.0362748200399163,0.0652081177084896,0.1023949226007522,0.0,0.0,False,False,False,True,True,True,False,False,False,True,True,False,5,2,Moderate
00105873,034220,LG디스플레이,전기·전자,2021,3541597000000.0,5753446000000.0,13187067000000.0,13994817000000.0,916614000000.0,3350375000000.0,1333544000000.0,2230608000000.0,29878043000000.0,38154515000000.0,14762501000000.0,23392014000000.0,0.6130863935762255,0.3869136064237745,0.9422822034757582,0.7028810737575204,0.2530649025278429,0.034951145362482,0.0903332030256932,0.0746570985254957,2.433530362835392,0.1507933202662909,0.2459577016327025,0.0,0.0,True,False,False,False,False,False,False,True,False,False,False,False,5,1,Watch
00105873,034220,LG디스플레이,전기·전자,2022,1824649000000.0,3011020000000.0,9444035000000.0,13961520000000.0,966363000000.0,2872918000000.0,-3195585000000.0,-2085047000000.0,26151781000000.0,35686019000000.0,11319227000000.0,24366792000000.0,0.6828105987389628,0.3171894012610373,0.6764331534102304,0.4706591402655298,0.1306912857625817,-0.0895472537858593,-0.2823147729080793,-0.0797286808114522,-2.1576229636275395,0.0843753403819013,0.1235706366270947,0.0,0.0,True,True,False,True,True,True,False,True,False,True,True,False,5,3,High
00105873,034220,LG디스플레이,전기·전자,2023,2257522000000.0,1682748000000.0,9503186000000.0,13885028000000.0,1634534000000.0,2527728000000.0,-2576729000000.0,-2510164000000.0,21330819000000.0,35759298000000.0,8770544000000.0,26988754000000.0,0.7547338876730746,0.2452661123269254,0.6844196497119055,0.5023726275524976,0.162586780523597,-0.0720575946429373,-0.2937935206755704,-0.1176778069327764,-1.5357062012781624,0.0470576351918317,0.0623499699170995,0.0,0.0,True,False,True,True,True,True,False,True,True,True,True,False,5,4,High
00105873,034220,LG디스플레이,전기·전자,2024,2021640000000.0,2411761000000.0,10123037000000.0,15859084000000.0,1821912000000.0,2671242000000.0,-2409300000000.0,-560596000000.0,26615347000000.0,32859566000000.0,8072807000000.0,24786759000000.0,0.7543239919845564,0.2456760080154436,0.638311582182174,0.4698754984840234,0.1274752060081149,-0.0733211144663322,-0.2984463768302648,-0.0210628852593956,-0.3076965297994634,0.0733960089430274,0.0973003771892888,0.0,0.0,True,True,True,True,True,True,False,True,True,True,True,False,5,4,High
00105873,034220,LG디스플레이,전기·전자,2025,1572058000000.0,2352083000000.0,6982077000000.0,9596471000000.0,1152916000000.0,2545666000000.0,303807000000.0,516977000000.0,25810082000000.0,26916700000000.0,7839238000000.0,19077462000000.0,0.7087593204218943,0.2912406795781058,0.7275671442137427,0.4622960878014428,0.163816261206854,0.0112869333907945,0.0387546595727799,0.0200300409739108,0.4484082101384662,0.0873837803296838,0.1232911904109676,0.0,0.0,True,True,False,False,False,True,False,True,False,False,True,False,5,2,Moderate
00105961,011070,LG이노텍,전기·전자,2019,799575276871.0,769041422028.0,2530944169760.0,2046234453957.0,93748526003.0,488148655157.0,102300470956.0,403129277832.0,8302068230724.0,5770780509572.0,2204604257510.0,3566176252062.0,0.61797121657058,0.3820287834294201,1.2368788751776074,0.9983193815609204,0.3907544784639827,0.0177273196903458,0.0464030996073389,0.0485576926891679,4.300113239317487,0.1332647153625736,0.2156487418655576,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,5,0,Low
00105961,011070,LG이노텍,전기·전자,2020,694606987268.0,950268413751.0,3161799525105.0,2284222240450.0,98896037341.0,859393512529.0,236127867008.0,681019009060.0,9541789540547.0,6038600271628.0,2427687837098.0,3610912434530.0,0.5979717603590446,0.4020282396409554,1.3841908502222244,1.007960596742293,0.3040890570836749,0.0391030795857497,0.0972645096291546,0.0713722521510319,6.886211291882221,0.1573656759855059,0.2631657319252296,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,5,0,Low
00105961,011070,LG이노텍,전기·전자,2021,565874458592.0,1177629168876.0,4113364037891.0,3310267874012.0,67217820514.0,1392013529303.0,888282436433.0,1264223240881.0,14945609219058.0,7741352841297.0,3314206193932.0,4427146647365.0,0.5718828140409716,0.4281171859590283,1.2426076059233413,0.8220937435162188,0.1709452165592169,0.1147451168605015,0.2680226830965924,0.0845882708661294,18.807858261600284,0.1521218827016671,0.2660018433265396,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,5,0,Low
00105961,011070,LG이노텍,전기·전자,2022,577908207202.0,1514999766762.0,4713796330744.0,4270416742099.0,251103713888.0,1978792005948.0,979848640817.0,1271751532028.0,19589409483381.0,9793617826430.0,4265792959339.0,5527824867091.0,0.5644313434585,0.4355686565414999,1.1038258360768485,0.640453728516362,0.1353282927881052,0.1000497117799191,0.2296990618524606,0.0649203608259305,5.064646445632582,0.1546925552550637,0.2740679748704238,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,5,0,Low
00105961,011070,LG이노텍,전기·전자,2023,1389646000000.0,2104064000000.0,5349008000000.0,4219145000000.0,219067000000.0,1572002000000.0,565201000000.0,830824000000.0,20605290000000.0,11204306000000.0,4714575000000.0,6489731000000.0,0.5792175793842117,0.4207824206157882,1.2677943042962496,0.8952064932587053,0.3293667318852516,0.0504449807065248,0.1198837647083777,0.0403209078833639,3.7925566150994894,0.187790658341534,0.3242143626600239,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,5,0,Low
00105961,011070,LG이노텍,전기·전자,2024,1329386000000.0,1110059000000.0,5853122000000.0,3954861000000.0,212751000000.0,1575241000000.0,449274000000.0,706043000000.0,21200755000000.0,11378212000000.0,5353865000000.0,6024347000000.0,0.5294634165719535,0.4705365834280465,1.4799817237571686,1.08167670115334,0.3361397530785532,0.039485465730468,0.0839158252963046,0.0333027290773371,3.318635400068625,0.0975600560087999,0.1842621283269373,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,5,0,Low
00105961,011070,LG이노텍,전기·전자,2025,1406403000000.0,1331402000000.0,6778361000000.0,4507244000000.0,189421000000.0,1788772000000.0,341262000000.0,665007000000.0,21896603000000.0,11930883000000.0,5763054000000.0,6167829000000.0,0.5169633295373025,0.4830366704626975,1.5038815293780412,1.1070155065933862,0.3120316983061045,0.0286032475551055,0.0592154784598582,0.0303703273060209,3.5107353461337443,0.1115929139528063,0.2158623398930158,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,5,0,Low
00106368,011780,금호석유화학,화학,2019,127807557195.0,557680550905.0,1261435503491.0,1275639574023.0,76135340395.0,469472369067.0,294696728256.0,367758876376.0,4977931637637.0,4538042397798.0,2629571508396.0,1908470889402.0,0.4205493739609065,0.5794506260390935,0.9888651380677972,0.6208361284421243,0.1001909628688703,0.0649391747417335,0.1120702469261848,0.0738778478988058,4.830330756623919,0.1228901147277962,0.2922132865645876,0.0,0.0,True,False,False,False,False,False,False,True,False,False,False,False,5,1,Watch
00106368,011780,금호석유화학,화학,2020,418223093806.0,771534306405.0,1705481685846.0,1210245805894.0,83702401639.0,531852802723.0,582982310651.0,742159982879.0,4809535907763.0,5027282217052.0,3149233632984.0,1878048584068.0,0.3735713459049228,0.6264286540950772,1.409202723562568,0.9697442266747196,0.3455687198164356,0.115963712694224,0.1851187871693741,0.1543101033264125,8.86665099622662,0.1534694638363525,0.4108170113117076,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,5,0,Low
00106368,011780,금호석유화학,화학,2021,622937474397.0,2127031389404.0,3445210514447.0,2360281020363.0,58262208353.0,780319057437.0,1965576708770.0,2406835526956.0,8461841500290.0,8115674806919.0,5082908385354.0,3032766421565.0,0.3736924524106636,0.6263075475893364,1.4596611525169758,1.129056851289747,0.2639251296869705,0.242195104601068,0.3867031549169082,0.2844340120142304,41.31040677987052,0.262089282777891,0.7013502175041845,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,5,0,Low
00106368,011780,금호석유화학,화학,2022,567301480378.0,513532762319.0,2743638365732.0,1462781190709.0,104504954019.0,826466256560.0,1025704605758.0,1147745512728.0,7975625981021.0,7719272223622.0,5653415177596.0,2065857046026.0,0.2676232922197254,0.7323767077802746,1.875631422634152,1.310634920211655,0.3878238823285886,0.1328758173107573,0.1814309711097779,0.1439066369786151,10.982689993044051,0.066526059379992,0.2485809767461213,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,5,0,Low
00106368,011780,금호석유화학,화학,2023,452439485955.0,630703779509.0,2571407562515.0,1529933392561.0,60355470349.0,745609380745.0,447043536116.0,358961881960.0,6322528187782.0,7979694633685.0,,2145675091381.0,0.2688918799377832,,1.6807317070259158,1.193384098057853,0.2957249564947716,0.0560226370353669,,0.0567750544242218,5.947462257925183,0.0790385858685099,0.2939418843246515,,,False,False,False,False,False,False,False,False,False,False,False,False,5,0,Low
00106368,011780,금호석유화학,화학,2024,429285910593.0,322334793729.0,2710939308766.0,1534476881893.0,69556345344.0,958420279555.0,348602013402.0,272804307588.0,7155003786012.0,8340238952259.0,6042223071506.0,2298015880753.0,0.2755335781033671,0.7244664218966329,1.7666863155485684,1.1420954267157244,0.2797604288853237,0.0417976050083767,0.0576943302616453,0.0381277656514076,3.9220621244375424,0.0386481485211756,0.1402665649218138,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,5,0,Low
00106368,011780,금호석유화학,화학,2025,650436032913.0,715308386329.0,2741554103400.0,1366480538680.0,70293841792.0,858849008765.0,290934780649.0,271828509546.0,6915145099921.0,8474479180387.0,6246537410457.0,2227941769930.0,0.2629001408235518,0.7370998591764483,2.006288436459037,1.3777767347156409,0.4759936307188916,0.0343306974335753,0.0465753683251718,0.0393091548504319,3.867031629176601,0.0844073566177944,0.3210624245136687,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,5,0,Low
