corp_code,stock_code,corp_name_master,industry_krx,bsns_year,cash_and_cash_equivalents,cfo,current_assets,current_liabilities,finance_costs,inventory,net_income,operating_income,revenue,total_assets,total_equity,total_liabilities,liabilities_to_assets,equity_ratio,current_ratio,quick_ratio,cash_ratio,roa,roe,operating_margin,finance_cost_coverage,cfo_to_assets,cfo_to_liabilities,bs_check,bs_check_relative
00105961,011070,LG이노텍,전기·전자,2022,577908207202.0,1514999766762.0,4713796330744.0,4270416742099.0,251103713888.0,1978792005948.0,979848640817.0,1271751532028.0,19589409483381.0,9793617826430.0,4265792959339.0,5527824867091.0,0.5644313434585,0.43556865654149995,1.1038258360768485,0.640453728516362,0.13532829278810524,0.10004971177991917,0.2296990618524606,0.06492036082593053,5.064646445632582,0.15469255525506373,0.2740679748704238,0.0,0.0
00105961,011070,LG이노텍,전기·전자,2023,1389646000000.0,2104064000000.0,5349008000000.0,4219145000000.0,219067000000.0,1572002000000.0,565201000000.0,830824000000.0,20605290000000.0,11204306000000.0,4714575000000.0,6489731000000.0,0.5792175793842117,0.42078242061578824,1.2677943042962496,0.8952064932587053,0.3293667318852516,0.0504449807065248,0.11988376470837775,0.040320907883363934,3.7925566150994903,0.18779065834153405,0.32421436266002396,0.0,0.0
00105961,011070,LG이노텍,전기·전자,2024,1329386000000.0,1110059000000.0,5853122000000.0,3954861000000.0,212751000000.0,1575241000000.0,449274000000.0,706043000000.0,21200755000000.0,11378212000000.0,5353865000000.0,6024347000000.0,0.5294634165719535,0.4705365834280465,1.4799817237571686,1.0816767011533401,0.3361397530785532,0.039485465730468024,0.08391582529630463,0.033302729077337105,3.318635400068625,0.09756005600879998,0.18426212832693734,0.0,0.0
00105961,011070,LG이노텍,전기·전자,2025,1406403000000.0,1331402000000.0,6778361000000.0,4507244000000.0,189421000000.0,1788772000000.0,341262000000.0,665007000000.0,21896603000000.0,11930883000000.0,5763054000000.0,6167829000000.0,0.5169633295373025,0.48303667046269755,1.5038815293780412,1.1070155065933862,0.31203169830610455,0.02860324755510552,0.059215478459858265,0.030370327306020937,3.5107353461337443,0.11159291395280635,0.21586233989301584,0.0,0.0
00106368,011780,금호석유화학,화학,2019,127807557195.0,557680550905.0,1261435503491.0,1275639574023.0,76135340395.0,469472369067.0,294696728256.0,367758876376.0,4977931637637.0,4538042397798.0,2629571508396.0,1908470889402.0,0.4205493739609065,0.5794506260390935,0.9888651380677973,0.6208361284421243,0.10019096286887036,0.06493917474173358,0.11207024692618482,0.07387784789880589,4.830330756623919,0.12289011472779629,0.2922132865645876,0.0,0.0
00106368,011780,금호석유화학,화학,2020,418223093806.0,771534306405.0,1705481685846.0,1210245805894.0,83702401639.0,531852802723.0,582982310651.0,742159982879.0,4809535907763.0,5027282217052.0,3149233632984.0,1878048584068.0,0.3735713459049228,0.6264286540950772,1.4092027235625681,0.9697442266747197,0.3455687198164356,0.11596371269422408,0.18511878716937413,0.15431010332641257,8.86665099622662,0.15346946383635252,0.4108170113117076,0.0,0.0
00106368,011780,금호석유화학,화학,2021,622937474397.0,2127031389404.0,3445210514447.0,2360281020363.0,58262208353.0,780319057437.0,1965576708770.0,2406835526956.0,8461841500290.0,8115674806919.0,5082908385354.0,3032766421565.0,0.3736924524106636,0.6263075475893364,1.4596611525169758,1.129056851289747,0.26392512968697057,0.24219510460106805,0.38670315491690826,0.28443401201423046,41.31040677987052,0.262089282777891,0.7013502175041845,0.0,0.0
00106368,011780,금호석유화학,화학,2022,567301480378.0,513532762319.0,2743638365732.0,1462781190709.0,104504954019.0,826466256560.0,1025704605758.0,1147745512728.0,7975625981021.0,7719272223622.0,5653415177596.0,2065857046026.0,0.2676232922197254,0.7323767077802746,1.8756314226341517,1.310634920211655,0.38782388232858866,0.1328758173107573,0.18143097110977793,0.1439066369786151,10.982689993044051,0.066526059379992,0.2485809767461213,0.0,0.0
00106368,011780,금호석유화학,화학,2023,452439485955.0,630703779509.0,2571407562515.0,1529933392561.0,60355470349.0,745609380745.0,447043536116.0,358961881960.0,6322528187782.0,7979694633685.0,,2145675091381.0,0.2688918799377832,,1.6807317070259158,1.193384098057853,0.2957249564947716,0.056022637035366925,,0.056775054424221885,5.947462257925183,0.07903858586850995,0.2939418843246515,,
00106368,011780,금호석유화학,화학,2024,429285910593.0,322334793729.0,2710939308766.0,1534476881893.0,69556345344.0,958420279555.0,348602013402.0,272804307588.0,7155003786012.0,8340238952259.0,6042223071506.0,2298015880753.0,0.27553357810336715,0.7244664218966329,1.7666863155485684,1.1420954267157244,0.27976042888532376,0.041797605008376794,0.0576943302616453,0.038127765651407644,3.9220621244375424,0.038648148521175624,0.14026656492181389,0.0,0.0
00106368,011780,금호석유화학,화학,2025,650436032913.0,715308386329.0,2741554103400.0,1366480538680.0,70293841792.0,858849008765.0,290934780649.0,271828509546.0,6915145099921.0,8474479180387.0,6246537410457.0,2227941769930.0,0.2629001408235518,0.7370998591764483,2.006288436459037,1.3777767347156407,0.4759936307188916,0.034330697433575384,0.04657536832517186,0.039309154850431904,3.867031629176601,0.08440735661779446,0.3210624245136687,0.0,0.0
00106641,000270,기아,운송장비·부품,2019,4268716000000.0,3610658000000.0,21555416000000.0,17276646000000.0,,8108681000000.0,1826659000000.0,2009680000000.0,58145959000000.0,55344798000000.0,28978138000000.0,26366660000000.0,0.47640719548746024,0.5235928045125398,1.2476620751504661,0.7783186042013016,0.2470801334935033,0.03300507122638698,0.06303576164900589,0.034562677003916985,,0.06523933830240017,0.13694028746909923,0.0,0.0
